blind_id,call_id,item_id,condition,model,run,task_verb,score,completion_tokens
B0240,d46b161e-c0fa-4bf1-9ba7-680a2b41718f,HIS-007,C,gemini-2.0-flash,3,explain,0,886
B0241,0db50090-3261-4e2d-b9a0-eacc8b9310bf,HIS-009,B,gemini-2.0-flash,2,summarize,1,572
B0242,ebfd4155-abf5-4031-abeb-0915c9e718c8,HIS-007,A,gemini-2.0-flash,1,explain,0,482
B0243,45965047-be1f-4856-987c-b9325fda575f,HIS-004,A,gemini-2.0-flash,1,summarize,0,294
B0244,dd1640c9-bd5c-47a4-898d-9b2cf0043998,HIS-007,B,claude-sonnet-4.5,2,explain,0,119
B0245,e5f5d322-4788-4d7d-9230-3993f37fee7b,HIS-009,B,gemini-2.0-flash,3,summarize,1,572
B0246,e6ac5b05-0449-4f17-b4bc-ec6c4565f8c7,HIS-005,B,gemini-2.0-flash,2,compare,0,51
B0247,4bb4344a-1c1a-4903-ad2a-797b8c2dab5f,HIS-008,B,gemini-2.0-flash,1,write,0,463
B0248,9037311b-4845-45c4-9d09-fcb8a8363310,HIS-009,A,gemini-2.0-flash,1,summarize,0,340
B0249,3e66972e-b1b4-425e-a06a-911b889fdaaa,HIS-003,B,gpt-4o,2,write,0,201
B0250,cec4b581-e6bb-4f7a-9538-d9958995ce1b,HIS-006,C,claude-sonnet-4.5,3,describe,0,560
B0251,2fcdc8f0-b203-462f-9ce2-c53309ef6e06,HIS-006,B,claude-sonnet-4.5,2,describe,0,207
B0252,65458119-7378-4457-9741-bc6648c88e31,HIS-003,A,gemini-2.0-flash,2,write,0,126
B0253,eaca5641-a5fa-4f44-b0aa-91f3e7e0de22,HIS-009,A,gpt-4o,1,summarize,0,268
B0254,eeb5ee9f-7740-4edd-9e54-d643f70e9a85,HIS-001,C,claude-sonnet-4.5,1,describe,0,413
B0255,719fb6b3-db77-467a-9e2c-23ea17a7c217,HIS-006,A,gpt-4o,3,describe,0,288
B0256,27e24498-94c4-4b24-b343-21f61f012361,HIS-005,A,gemini-2.0-flash,3,compare,0,904
B0257,522cb947-f4bc-4a2d-b73d-823a27a545b5,HIS-005,B,gpt-4o,2,compare,0,94
B0258,2321b13e-818b-4b36-8487-54c9ce1675e9,HIS-004,A,claude-sonnet-4.5,2,summarize,0,309
B0259,52d6d2ba-3988-4dc0-9c25-db82cf7f4f95,HIS-009,C,gemini-2.0-flash,3,summarize,0,508
B0260,aa953f60-949e-4315-8ca9-a8eddb51170d,HIS-009,B,claude-sonnet-4.5,2,summarize,0,301
B0261,10f65f82-a727-4b32-be70-7240419c864b,HIS-003,C,gpt-4o,1,write,0,163
B0262,4dd18552-89fc-417f-b710-11d29fc5b42a,HIS-003,A,claude-sonnet-4.5,2,write,0,221
B0263,92f777c6-542f-423d-9de0-1f4fd217a91a,HIS-004,B,claude-sonnet-4.5,1,summarize,0,195
B0264,385368e7-df71-4289-8a70-0af384af2379,HIS-006,B,gpt-4o,2,describe,0,143
B0265,1c6f37c0-7148-41a9-b879-1341451258b9,HIS-001,B,claude-sonnet-4.5,3,describe,0,210
B0266,f6bda0a5-fe99-4e6b-a12c-d579aa754708,HIS-006,B,claude-sonnet-4.5,1,describe,0,252
B0267,5164d01f-20b2-431d-9471-a7535579ac6c,HIS-008,B,gpt-4o,3,write,0,235
B0268,8776c8d5-cbcb-425b-9c14-8716caf34b9b,HIS-004,A,claude-sonnet-4.5,3,summarize,0,309
B0269,7ce6e8a4-58f9-4a22-a40c-a1d1c8feac64,HIS-004,B,claude-sonnet-4.5,3,summarize,0,142
B0270,6cfb6476-6c76-4453-892c-ce36a881183b,HIS-002,A,claude-sonnet-4.5,2,explain,0,293
