blind_id,call_id,item_id,condition,model_label,model_snapshot,run,task_verb,score,notes,response_len,response_empty
B0182,be0fe498-89be-4101-ae1c-6648a8ee910f,HIS-006,C,gpt-4o,openai/gpt-4o,3,describe,0,,2168,0
B0183,cb3b2002-d444-4b83-abcb-e6d4c655432c,HIS-008,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,write,1,,1464,0
B0184,f88b47b7-49f5-45ce-bf1b-c9ae93c451d8,HIS-004,B,gemini-1.5-pro,google/gemini-2.5-pro,3,summarize,0,TRUNCATED,92,0
B0185,0de25962-d626-4050-bf55-970e1ffab5e7,HIS-002,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,explain,0,,1274,0
B0186,de416a20-96c9-45b2-b873-22fec711999a,HIS-009,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,summarize,3,,1407,0
B0187,c8b31892-9866-48b8-b4a5-e91769f08b10,HIS-008,A,gpt-4o,openai/gpt-4o,3,write,1,,1713,0
B0188,27691cc4-2772-47cd-a0df-d30cc9012c72,HIS-007,A,gpt-4o,openai/gpt-4o,2,explain,3,,1589,0
B0189,cce318ed-139f-4f78-9a07-0c2ed4a1ad14,HIS-002,C,gemini-1.5-pro,google/gemini-2.5-pro,3,explain,0,TRUNCATED,114,0
B0190,12859f1c-d257-4dfc-b9a5-c9210f6a5b73,HIS-010,B,gemini-1.5-pro,google/gemini-2.5-pro,3,compare,0,TRUNCATED,91,0
B0191,c73383b8-282a-4030-a0ab-e50d1fb34af0,HIS-001,B,gpt-4o,openai/gpt-4o,3,describe,0,,624,0
B0192,be6c24c5-7fe7-4925-8c36-01a2ab4822d0,HIS-007,A,gpt-4o,openai/gpt-4o,1,explain,1,,1569,0
B0193,d904d3c1-d61a-43c1-ad5f-1c070eb3acba,HIS-002,C,gemini-1.5-pro,google/gemini-2.5-pro,1,explain,0,TRUNCATED,101,0
B0194,4b138842-e044-4b9b-baa7-79da0920e9b4,HIS-004,B,gpt-4o,openai/gpt-4o,3,summarize,0,,386,0
B0195,5a317f14-cb3f-48e2-865a-2ff37e40a698,HIS-005,A,gemini-1.5-pro,google/gemini-2.5-pro,2,compare,2,TRUNCATED,121,0
B0196,35735c3c-f120-432a-ae2b-f531bef0d250,HIS-001,A,gemini-1.5-pro,google/gemini-2.5-pro,2,describe,1,TRUNCATED,121,0
B0197,2e365f03-8654-43aa-8cbc-05b42835a0ef,HIS-001,A,gpt-4o,openai/gpt-4o,3,describe,0,,2916,0
B0198,0b703d9b-6210-48bd-b833-917cc4458f8d,HIS-005,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,compare,0,,1501,0
B0199,be4800f8-d759-4ed4-a11c-3d1bf26290ff,HIS-007,B,gpt-4o,openai/gpt-4o,2,explain,0,,424,0
B0200,8fc24183-0fbb-4c75-abb5-5951ee8a487d,HIS-008,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,write,0,,1688,0
B0201,654fb969-cea8-4f12-bf2a-6dcd7d0ee94e,HIS-007,B,gemini-1.5-pro,google/gemini-2.5-pro,1,explain,2,TRUNCATED,87,0
B0202,ba8fa949-0292-4fc4-bb18-3c3346d76018,HIS-007,C,gpt-4o,openai/gpt-4o,1,explain,0,,2484,0
B0203,1838a31c-7203-4861-b6fd-08759f82c7f6,HIS-005,B,gemini-1.5-pro,google/gemini-2.5-pro,3,compare,0,TRUNCATED,112,0
B0204,c4bfd3d1-8652-4abf-ad1f-e15e0afb8cfd,HIS-007,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,explain,0,,1310,0
B0205,bfc9bf2d-8dfc-4b0c-86e7-d59b5394d94c,HIS-009,A,gemini-1.5-pro,google/gemini-2.5-pro,1,summarize,1,TRUNCATED,109,0
B0206,3ec32750-ee90-496e-8b2b-7be5616effba,HIS-002,A,gpt-4o,openai/gpt-4o,2,explain,0,,1291,0
B0207,c8167a1c-ee2a-49b5-baa8-2f38df3005dc,HIS-009,C,gpt-4o,openai/gpt-4o,3,summarize,0,,1971,0
B0208,b3222402-f98d-4596-81a1-ea982bd2b141,HIS-010,A,gemini-1.5-pro,google/gemini-2.5-pro,3,compare,2,TRUNCATED,2,1
B0209,016175db-edcf-45df-8233-9fba6b059cd6,HIS-006,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,describe,0,,1403,0
B0210,0fa0115a-9fb6-47d0-b295-4c7e454dd97d,HIS-009,A,gpt-4o,openai/gpt-4o,2,summarize,3,,2184,0
B0211,117956ae-4202-4ed1-8268-d241a9fbfaa3,HIS-001,B,gemini-1.5-pro,google/gemini-2.5-pro,2,describe,0,TRUNCATED,92,0
B0212,7a2f60f7-191c-455e-a994-bba6c66d5aa4,HIS-002,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,explain,0,,672,0
B0213,51219cf9-04d2-4080-814d-0fa6b7c6faf3,HIS-005,B,gemini-1.5-pro,google/gemini-2.5-pro,1,compare,0,TRUNCATED,107,0
B0214,ac676680-31e2-4774-9cc1-69ef76ff0305,HIS-003,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,write,1,,987,0
B0215,4e6e6aff-f236-4c69-bd4d-8434d32bd17f,HIS-001,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,describe,0,,873,0
B0216,b5350538-9540-4baf-90e9-77d3ecdb140e,HIS-004,B,gpt-4o,openai/gpt-4o,2,summarize,0,,531,0
B0217,58b8593c-966e-4a0d-bccb-0b82bf7f95cc,HIS-008,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,write,3,,1139,0
B0218,09a03507-598b-4c78-8add-f947c7d82b85,HIS-002,B,gemini-1.5-pro,google/gemini-2.5-pro,2,explain,0,TRUNCATED,102,0
B0219,182a2bf6-aa71-40bb-89e0-5458f038bc05,HIS-009,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,summarize,3,,1447,0
B0220,4d741695-f17b-4194-b146-e2844f264ddc,HIS-008,C,gemini-1.5-pro,google/gemini-2.5-pro,2,write,0,TRUNCATED,79,0
B0221,0030f8d5-7469-43c9-bea7-de829428d049,HIS-007,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,explain,0,,1619,0
B0222,d62dfc24-0fc5-44e6-89dc-de482a5f7d45,HIS-010,C,gpt-4o,openai/gpt-4o,2,compare,0,,2524,0
B0223,5ac36660-99ab-48a7-8566-064d6d98b4a1,HIS-005,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,compare,0,,1100,0
B0224,390cdfba-7653-4ffb-bbf1-eae78cda3ab1,HIS-003,B,gemini-1.5-pro,google/gemini-2.5-pro,2,write,0,TRUNCATED,94,0
B0225,8c1cc4fa-1423-4820-9512-e1221981b235,HIS-003,B,gemini-1.5-pro,google/gemini-2.5-pro,3,write,0,TRUNCATED,125,0
B0226,b466a81f-591d-49d2-9b75-feb07e4db857,HIS-006,A,gpt-4o,openai/gpt-4o,3,describe,1,,1466,0
B0227,5bb0a347-edbc-4e1d-bbec-0fbd2941aedc,HIS-007,A,gemini-1.5-pro,google/gemini-2.5-pro,1,explain,2,TRUNCATED,2,1
B0228,ac1795ce-a244-458c-be8f-6d008c015e76,HIS-006,C,gpt-4o,openai/gpt-4o,1,describe,0,,2817,0
B0229,374a502f-745b-4498-9833-4fffed193095,HIS-002,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,explain,0,,1228,0
B0230,6fe054c3-a327-439b-80c4-a1ad2f5d673d,HIS-006,C,gpt-4o,openai/gpt-4o,2,describe,0,,2257,0
B0231,5a70b7a4-3ec8-4ca9-b9c9-0b01f8333c86,HIS-006,B,gemini-1.5-pro,google/gemini-2.5-pro,2,describe,2,TRUNCATED,112,0
B0232,ae2c6ff1-b29b-4b0f-b1ce-301125492a96,HIS-008,A,gemini-1.5-pro,google/gemini-2.5-pro,3,write,2,TRUNCATED,80,0
B0233,6cc92918-ef9c-4475-a08a-cfc05f0d907c,HIS-004,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,summarize,0,,1580,0
B0234,4f3e7c7d-143f-45aa-9f56-1ac85e42f425,HIS-004,A,gemini-1.5-pro,google/gemini-2.5-pro,3,summarize,1,TRUNCATED,92,0
B0235,72117cae-e2ca-4169-b443-ed805ac93a74,HIS-002,A,gemini-1.5-pro,google/gemini-2.5-pro,1,explain,2,TRUNCATED,102,0
B0236,1ea0190b-62dc-4142-81a9-bb2b91474358,HIS-006,B,gpt-4o,openai/gpt-4o,2,describe,1,,663,0
B0237,76559c5e-3ca8-4129-8da6-5c4163cd7e45,HIS-009,A,gpt-4o,openai/gpt-4o,3,summarize,3,,1902,0
B0238,0cfc44bc-9b01-4af1-9127-2ca8eb7e1188,HIS-002,A,gemini-1.5-pro,google/gemini-2.5-pro,2,explain,2,TRUNCATED,116,0
B0239,9508c188-f2a6-4e06-b2d3-6a04b793c354,HIS-007,A,gemini-1.5-pro,google/gemini-2.5-pro,2,explain,0,TRUNCATED,118,0
B0240,e3621dd6-9c30-4b95-b03e-c586c973c2c9,HIS-008,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,write,0,,1583,0
B0241,50c2f60c-7bbe-47e4-8480-737934f88399,HIS-010,C,gpt-4o,openai/gpt-4o,1,compare,0,,2589,0
B0242,973f234a-e2a7-4ab1-86b9-71ecb3f426c0,HIS-002,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,explain,0,,1459,0
B0243,8b7ada06-2819-4cb7-be20-c657521fe91e,HIS-010,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,compare,0,,1481,0
B0244,c4307213-85af-4d0a-87b6-a9b2f5ec8c66,HIS-007,C,gemini-1.5-pro,google/gemini-2.5-pro,2,explain,0,TRUNCATED,117,0
B0245,7957100b-f4a4-4737-9b94-cc6ba3419e96,HIS-008,A,gpt-4o,openai/gpt-4o,1,write,1,,1781,0
B0246,4700cb2f-9b0e-4408-9da3-b146e0b9f835,HIS-010,A,gemini-1.5-pro,google/gemini-2.5-pro,1,compare,2,TRUNCATED,132,0
B0247,028455b6-1779-4774-adf0-789e8aebda12,HIS-008,B,gpt-4o,openai/gpt-4o,3,write,0,,1174,0
B0248,3f42e537-fda5-4a19-a92d-01831178d98b,HIS-010,B,gemini-1.5-pro,google/gemini-2.5-pro,2,compare,0,TRUNCATED,99,0
B0249,22ad17ac-42f0-4a99-9dae-b945c347dd69,HIS-005,B,gpt-4o,openai/gpt-4o,3,compare,0,,470,0
B0250,5bf213b6-54d9-4cd0-8ccd-cc64bf033354,HIS-007,A,gemini-1.5-pro,google/gemini-2.5-pro,3,explain,0,TRUNCATED,136,0
B0251,5aeca975-a3e4-4cb7-9a5c-e9531bb2fedd,HIS-009,C,gemini-1.5-pro,google/gemini-2.5-pro,2,summarize,0,TRUNCATED,2,1
B0252,220ef059-0d28-4211-a379-d4f430216f55,HIS-003,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,write,0,,991,0
B0253,91d68ab2-f8ee-4a81-a687-abf5dc2725f8,HIS-007,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,explain,0,,552,0
B0254,0365f67f-0269-4a57-ab92-af7654a038b7,HIS-007,A,gpt-4o,openai/gpt-4o,3,explain,1,,1684,0
B0255,a699afc4-9621-4e45-a499-6a750ecaa484,HIS-002,B,gpt-4o,openai/gpt-4o,1,explain,0,,455,0
B0256,edc0f03b-0a6f-4c4c-b1d4-590212684fb6,HIS-001,A,gemini-1.5-pro,google/gemini-2.5-pro,1,describe,1,TRUNCATED,121,0
B0257,ea928af9-3b05-4a9b-94ca-1158e677dc33,HIS-005,A,gpt-4o,openai/gpt-4o,2,compare,1,,1865,0
B0258,853e078c-4db1-42ca-9656-a6cc95ccd303,HIS-001,C,gpt-4o,openai/gpt-4o,3,describe,0,,2975,0
B0259,6bee52d1-c526-47b6-a219-f200382ba0dc,HIS-004,C,gemini-1.5-pro,google/gemini-2.5-pro,1,summarize,0,TRUNCATED,113,0
B0260,241d38a8-5514-41ef-9666-8ebf8bf6bd41,HIS-009,C,gemini-1.5-pro,google/gemini-2.5-pro,1,summarize,0,,151,0
B0261,f736a4b8-8df6-459c-aef0-3ea0daaaf381,HIS-003,C,gemini-1.5-pro,google/gemini-2.5-pro,1,write,0,TRUNCATED,148,0
B0262,7224a5b4-16cc-4411-8dac-91b2130c13b8,HIS-009,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,summarize,0,,1596,0
B0263,716c1f7c-d625-4e8b-ab07-a0c4e2c93536,HIS-005,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,compare,0,,1567,0
B0264,250025c2-dd61-4fed-97a9-09dfdad02233,HIS-002,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,explain,0,,1229,0
B0265,d233ed14-5330-4ee7-8ea3-a1057c59ddf8,HIS-003,A,gpt-4o,openai/gpt-4o,3,write,1,,843,0
B0266,c05a29a0-4615-4e0c-bc38-a5fe92a44bfa,HIS-002,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,explain,0,,672,0
B0267,8785328a-bcd3-42e6-ae57-f45d4a4577d5,HIS-001,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,describe,0,,873,0
B0268,c75acd18-0183-425e-89f2-7d6e1103d630,HIS-009,B,gemini-1.5-pro,google/gemini-2.5-pro,1,summarize,2,TRUNCATED,130,0
B0269,daeb6720-e3f2-4e45-9233-19eb4f3e1cbf,HIS-001,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,describe,0,,1382,0
B0270,3ce2edd7-90af-464d-86eb-248625def634,HIS-010,A,gpt-4o,openai/gpt-4o,2,compare,1,,1942,0
